product_name,product_brand,product_category,product_code,product_series,business,product_identifier
YCUZ,YORK,Condensing Unit,Not Specified,Not Specified,Chillers,YCUZ-YOR-XX-XX-Cs
YCAG,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCAG-YOR-XX-XX-Cs
YCAH,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCAH-YOR-XX-XX-Cs
YCAI,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCAI-YOR-XX-XX-Cs
YCAK,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCAK-YOR-XX-XX-Cs
YCAM,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCAM-YOR-XX-XX-Cs
YCAN,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCAN-YOR-XX-XX-Cs
YCAQ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCAQ-YOR-XX-XX-Cs
YCHA,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCHA-YOR-XX-XX-Cs
YEAS,YORK,Screw Air Cooled,Not Specified,Not Specified,Chillers,YEAS-YOR-XX-XX-Cs
GRD Universal Thermostat Guard,Johnson Controls,Accessory,"GRD10-1R, GRD10A-600, GRD10A-601, GRD10A-606, GRD10A-608, GRD10A-609",Not Specified,Building Automation and Controls,GRD_Universal_Thermostat_Guard-Joh-_GRD10A-609-XX-Bs
FD-1300 1-1/2 Hour Dynamically Rated Fire Damper,Johnson Controls,Fire and Smoke Safety Damper,Not Specified,Not Specified,Building Automation and Controls,FD-1300_1-1/2_Hour_Dynamically_Rated_Fire_Damper-Joh-XX-XX-Bs
T-3300 Thermostat,Johnson Controls,Pneumatic Thermostat,"T-3300-1, T-3300-2",Not Specified,Building Automation and Controls,T-3300_Thermostat-Joh-_T-3300-2-XX-Bs
T-4500 Thermostat,Johnson Controls,Pneumatic Thermostat,Not Specified,Not Specified,Building Automation and Controls,T-4500_Thermostat-Joh-XX-XX-Bs
T-4700 Thermostat,Johnson Controls,Pneumatic Thermostat,Not Specified,Not Specified,Building Automation and Controls,T-4700_Thermostat-Joh-XX-XX-Bs
T-3311 Thermostat,Johnson Controls,"Pneumatic Actuator, Pneumatic Thermostat",Not Specified,Not Specified,Building Automation and Controls,T-3311_Thermostat-Joh-XX-XX-Bs
JC-BASIC,Metasys,Supervisory Device,"WS-SWOJCB-0C, WS-SWOJCB-6C",Not Specified,Building Automation and Controls,JC-BASIC-Met-_WS-SWOJCB-6C-XX-Bs
CD-1300 Control Damper,Johnson Controls,Control Damper,"DOPEN, DOPHN, DOPSN",Not Specified,Building Automation and Controls,CD-1300_Control_Damper-Joh-_DOPSN-XX-Bs
